spf_result,dkim_result,dmarc_result,dmarc_policy,compauth,lev_from_returnpath,lev_returnpath_helo,lev_helo_messageid,dkim_signature_present,reply_to_present,hop_count,total_delay_log,asn_in_nerd,asn_avg_rep,ptr_exists,ptr_matches_helo,helo_domain_resolves,from_domain_has_mx
2,2,2,1,2,0.2941,1,1,1,1,5,2.397895,1,0.748465,1,1,1,1
2,2,2,1,2,1,0.4615,1,1,0,7,1.791759,1,0.578171,0,0,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.609438,1,0.748465,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,4.356709,0,,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,3.044522,0,,1,1,1,1
2,2,2,1,2,1,1,0.1429,1,0,5,1.386294,1,0.140722,1,0,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,7,2.302585,1,0.578171,0,0,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,3.931826,0,,1,1,1,1
2,2,2,1,2,1,1,,1,0,5,1.098612,1,0.140722,1,0,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,3.988984,0,,1,1,1,1
2,2,2,1,1,0.1176,1,1,1,1,4,3.044522,0,,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,6.43615,0,,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,2.197225,1,0.748465,1,1,1,1
2,2,2,1,2,1,1,0.1429,1,0,5,0.693147,1,0.140722,1,0,1,1
2,2,2,1,2,0.1176,1,1,1,1,4,4.454347,0,,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,5,1.791759,1,0.748465,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.386294,1,0.748465,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.609438,1,0.748465,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.609438,1,0.748465,1,1,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,7,2.079442,1,0.578171,0,0,1,1
2,2,2,1,2,0.2941,1,1,1,1,5,1.386294,1,0.748465,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.386294,1,0.748465,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,5.023881,0,,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.791759,1,0.748465,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.386294,1,0.748465,1,1,1,1
2,2,2,1,2,1,0.3077,0.3077,1,0,5,1.791759,1,0.578171,1,0,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.609438,1,0.748465,1,1,1,1
2,2,2,1,2,1,1,,1,0,6,1.098612,1,0.140722,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,2.772589,0,,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,4.532599,0,,1,1,1,1
2,2,2,1,2,1,1,0.25,1,0,5,0.693147,1,0.140722,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.609438,1,0.748465,1,1,1,1
2,0,2,1,2,1,1,0.1538,1,1,4,4.875197,1,0.106069,1,1,1,1
2,2,2,1,2,1,1,0.1429,1,0,5,0.693147,1,0.140722,1,0,1,1
2,2,2,1,2,0.2941,1,1,1,1,5,2.197225,1,0.748465,1,1,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,7,1.791759,1,0.578171,0,0,1,1
2,2,2,1,2,1,1,0.25,1,0,6,1.098612,1,0.140722,1,0,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,3,0.693147,1,0.578171,1,1,1,1
2,2,2,1,2,1,0.3077,0.3077,1,0,5,1.94591,1,0.578171,1,0,1,1
2,0,2,1,2,1,1,0.1538,1,1,4,5.476464,1,0.106069,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,4.744932,0,,1,1,1,1
2,2,2,1,2,0.2941,1,1,1,1,4,1.791759,1,0.748465,1,1,1,1
2,2,2,1,2,1,0.3077,0.3077,1,0,5,2.302585,1,0.578171,1,0,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,2.70805,0,,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,4.290459,0,,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,3.688879,0,,1,1,1,1
2,2,2,1,2,1,0.4615,0.4615,1,0,7,1.791759,1,0.578171,0,0,1,1
2,2,2,1,2,0.2941,1,1,1,1,5,1.098612,1,0.748465,1,1,1,1
2,2,2,1,2,0.1176,1,1,1,1,5,5.375278,0,,1,1,1,1
2,2,2,1,1,1,0.3333,0.1905,1,0,5,0.693147,1,0.748465,1,1,1,1
