lev_from_returnpath,lev_returnpath_helo,lev_helo_messageid,dkim_signature_present,reply_to_present,hop_count,total_delay_log,asn_in_nerd,asn_avg_rep,ptr_exists,ptr_matches_helo,helo_domain_resolves,from_domain_has_mx,lev_display_name_alignment,display_name_missing,spamassassin_score,spamassassin_present
1,0.1429,1,1,1,4,2.484907,1,0.159104,1,0,0,1,0.2222,0,-1.501,1
1,1,,0,1,4,2.564949,1,0.060881,1,1,1,1,1,0,-1.92,1
0.0909,1,1,1,1,4,3.78419,1,0.159104,1,1,1,1,1,0,-2.485,1
1,1,1,0,0,2,0,0,,0,0,1,0,,1,,0
1,1,1,1,0,4,2.484907,1,0.167366,1,1,1,1,0.2857,0,-1.938,1
1,1,1,1,0,4,2.079442,1,0.167366,1,1,1,1,0.2857,0,-5.628,1
1,0.4,1,1,0,4,2.197225,1,0.159481,1,0,1,1,0.2105,0,-6.69,1
1,0.2,0.6,1,0,4,0.693147,1,0.167366,1,1,1,0,0.8235,0,,0
0.4667,1,0.2,1,1,4,2.944439,1,0.159104,1,1,1,1,0.25,0,-2.66,1
1,1,,0,1,4,2.302585,1,0.163286,0,0,1,1,1,0,-1.476,1
1,1,1,1,0,4,1.94591,1,0.167366,1,1,1,1,0.2857,0,-1.938,1
0.125,1,1,1,1,4,2.302585,1,0.227036,1,1,1,1,0.5714,0,-4.556,1
1,0.4167,,1,1,4,10.486876,1,0.076553,1,0,0,0,0.1905,0,2.81,1
0,1,1,1,1,4,2.302585,1,0.159104,1,1,1,1,1,0,-1.866,1
1,1,1,1,1,4,3.465736,1,0.185982,1,0,1,1,1,0,-2.701,1
1,1,1,0,0,3,0,0,,0,0,1,0,,1,,0
1,1,,1,1,4,2.564949,1,0.163286,1,1,1,1,0.1111,0,-1.499,1
0.2273,0.3158,0.3158,0,1,4,2.302585,1,0.082291,0,0,0,1,0.1176,0,13.405,1
1,1,1,1,0,4,3.367296,1,0.167366,1,1,1,1,0.2857,0,-1.938,1
1,1,1,0,0,3,0,1,0.007332,0,0,1,0,,1,,0
1,1,1,0,0,3,0,0,,0,0,1,0,,1,,0
1,0.6,0.6,1,0,4,1.098612,1,0.167366,1,1,1,1,0.9412,0,-2.66,1
1,1,,0,1,4,0,1,0.060881,1,1,1,1,0.55,0,4.648,1
1,1,1,1,1,4,2.079442,0,,1,1,1,1,0.1538,0,-0.853,1
1,1,1,0,0,3,0,1,0.06216,0,0,1,0,,1,,0
1,0.2,0.6,1,0,4,1.609438,1,0.167366,1,1,1,0,0.96,0,-2.661,1
1,1,1,1,1,4,2.197225,1,0.185982,1,0,1,1,1,0,-2.861,1
0.5,1,0.1667,1,1,3,6.111467,1,0.159104,1,1,1,1,1,0,-2.151,1
1,1,1,0,0,2,0,0,,0,0,1,0,0.6154,0,,0
0.125,1,1,1,1,4,2.302585,1,0.227036,1,1,1,1,0.1,0,-2.153,1
1,1,1,1,0,6,2.833213,1,0.431354,0,0,1,1,0.1667,0,1.339,1
1,1,1,0,0,2,0.693147,0,,0,0,1,0,,1,,0
1,1,1,1,0,4,2.079442,1,0.167366,1,1,1,1,0.2857,0,-5.628,1
0.0909,0.3077,0.3077,1,0,4,2.772589,1,0.159104,1,1,1,1,0.9375,0,-3.7,1
1,0.2,0.6,1,0,4,1.609438,1,0.167366,1,1,1,0,0.9091,0,-2.019,1
0.1333,1,1,1,1,4,3.713572,1,0.159104,1,1,1,1,1,0,-2.627,1
1,1,1,1,0,4,1.386294,1,0.167366,1,1,1,1,0.2857,0,-1.938,1
1,1,1,0,0,2,0.693147,0,,0,0,1,0,0.6154,0,,0
1,1,0.0909,1,1,3,1.791759,1,0.159104,1,1,1,1,0.5833,0,-1.491,1
1,1,,1,1,4,2.197225,1,0.163286,1,1,1,1,0.25,0,-5.85,1
1,1,,0,1,4,2.890372,1,0.060881,1,1,1,1,1,0,-1.496,1
1,1,1,1,0,4,2.397895,1,0.167366,1,1,1,1,0.2857,0,-5.628,1
